,Tweet
0,"['salfok', 'lukis', 'the', 'smiling', 'general']"
1,"['moga', 'amanah']"
2,[]
3,"['moga', 'amanah', 'amin']"
4,"['moga', 'amanah', 'hakim']"
5,['manfaat']
6,"['selamat', 'tugas', 'hakim', 'moga', 'hukum', 'adil', 'tara', 'rakyat', 'indonesia', 'tumpul', 'tajam']"
7,[]
8,['aamin3']
9,"['selamat', 'moga', 'amanah', 'ya']"
10,"['moga', 'amanah', 'ya', 'hakim', 'pulak', 'kau', 'ngelanggar', 'konstitusi']"
11,"['selamat', 'jalan', 'amanah', 'tugas', 'nya']"
12,"['moga', '2024', 'terus', 'pimpin', 'jokowi', 'tolak', 'keras', 'politik', 'identitas', 'sara', 'spt', 'pilkada', 'tzakarta', 'skrng', 'dedengkotnye', 'yg', 'keliling', 'mao', 'nyalon', 'blom', 'kampanye']"
13,"['sumpah', 'yo', 'smg', 'amanah']"
14,"['selamat', 'tempat', 'yg', 'moga', 'sukses', 'amanah']"
